part_id,aya_index,part_no,part_text,part_text_full,hamza
2022,847,2,والله أعلم بالظالمين,وَاللَّهُ أَعْلَمُ بِالظَّالِمِينَ,
2023,848,1,وعنده مفاتح الغيب لا يعلمها إلا هو,وَعِندَهُ مَفَاتِحُ الْغَيْبِ لَا يَعْلَمُهَا إِلَّا هُوَ,
2024,848,2,ويعلم ما في البر والبحر,وَيَعْلَمُ مَا فِي الْبَرِّ وَالْبَحْرِ,
2025,848,3,وما تسقط من ورقة إلا يعلمها ولا حبة في ظلمات الأرض ولا رطب ولا يابس إلا في كتاب مبين,وَمَا تَسْقُطُ مِن وَرَقَةٍ إِلَّا يَعْلَمُهَا وَلَا حَبَّةٍ فِي ظُلُمَاتِ الْأَرْضِ وَلَا رَطْبٍ وَلَا يَابِسٍ إِلَّا فِي كِتَابٍ مُّبِينٍ,
2026,849,1,وهو الذي يتوفاكم بالليل ويعلم ما جرحتم بالنهار ثم يبعثكم فيه ليقضىٰ أجل مسمى,وَهُوَ الَّذِي يَتَوَفَّاكُم بِاللَّيْلِ وَيَعْلَمُ مَا جَرَحْتُم بِالنَّهَارِ ثُمَّ يَبْعَثُكُمْ فِيهِ لِيُقْضَىٰ أَجَلٌ مُّسَمًّى,
2027,849,2,ثم إليه مرجعكم ثم ينبئكم بما كنتم تعملون,ثُمَّ إِلَيْهِ مَرْجِعُكُمْ ثُمَّ يُنَبِّئُكُم بِمَا كُنتُمْ تَعْمَلُونَ,
2028,850,1,وهو القاهر فوق عباده,وَهُوَ الْقَاهِرُ فَوْقَ عِبَادِهِ,
2029,850,2,ويرسل عليكم حفظة حتىٰ إذا جاء أحدكم الموت توفته رسلنا وهم لا يفرطون,وَيُرْسِلُ عَلَيْكُمْ حَفَظَةً حَتَّىٰ إِذَا جَاءَ أَحَدَكُمُ الْمَوْتُ تَوَفَّتْهُ رُسُلُنَا وَهُمْ لَا يُفَرِّطُونَ,
2030,851,1,ثم ردوا إلى الله مولاهم الحق,ثُمَّ رُدُّوا إِلَى اللَّهِ مَوْلَاهُمُ الْحَقِّ,
2031,851,2,ألا له الحكم وهو أسرع الحاسبين,أَلَا لَهُ الْحُكْمُ وَهُوَ أَسْرَعُ الْحَاسِبِينَ,
2032,852,1,قل من ينجيكم من ظلمات البر والبحر تدعونه تضرعا وخفية لئن أنجانا من هٰذه لنكونن من الشاكرين,قُلْ مَن يُنَجِّيكُم مِّن ظُلُمَاتِ الْبَرِّ وَالْبَحْرِ تَدْعُونَهُ تَضَرُّعًا وَخُفْيَةً لَّئِنْ أَنجَانَا مِنْ هَٰذِهِ لَنَكُونَنَّ مِنَ الشَّاكِرِينَ,
2033,853,1,قل الله ينجيكم منها ومن كل كرب ثم أنتم تشركون,قُلِ اللَّهُ يُنَجِّيكُم مِّنْهَا وَمِن كُلِّ كَرْبٍ ثُمَّ أَنتُمْ تُشْرِكُونَ,
2034,854,1,قل هو القادر علىٰ أن يبعث عليكم عذابا من فوقكم أو من تحت أرجلكم أو يلبسكم شيعا ويذيق بعضكم بأس بعض,قُلْ هُوَ الْقَادِرُ عَلَىٰ أَن يَبْعَثَ عَلَيْكُمْ عَذَابًا مِّن فَوْقِكُمْ أَوْ مِن تَحْتِ أَرْجُلِكُمْ أَوْ يَلْبِسَكُمْ شِيَعًا وَيُذِيقَ بَعْضَكُم بَأْسَ بَعْضٍ,
2035,854,2,انظر كيف نصرف الآيات لعلهم يفقهون,انظُرْ كَيْفَ نُصَرِّفُ الْآيَاتِ لَعَلَّهُمْ يَفْقَهُونَ,
2036,855,1,وكذب به قومك وهو الحق,وَكَذَّبَ بِهِ قَوْمُكَ وَهُوَ الْحَقُّ,
2037,855,2,قل لست عليكم بوكيل,قُل لَّسْتُ عَلَيْكُم بِوَكِيلٍ,
2038,856,1,لكل نبإ مستقر,لِّكُلِّ نَبَإٍ مُّسْتَقَرٌّ,
2039,856,2,وسوف تعلمون,وَسَوْفَ تَعْلَمُونَ,
2040,857,1,وإذا رأيت الذين يخوضون في آياتنا فأعرض عنهم حتىٰ يخوضوا في حديث غيره,وَإِذَا رَأَيْتَ الَّذِينَ يَخُوضُونَ فِي آيَاتِنَا فَأَعْرِضْ عَنْهُمْ حَتَّىٰ يَخُوضُوا فِي حَدِيثٍ غَيْرِهِ,
2041,857,2,وإما ينسينك الشيطان فلا تقعد بعد الذكرىٰ مع القوم الظالمين,وَإِمَّا يُنسِيَنَّكَ الشَّيْطَانُ فَلَا تَقْعُدْ بَعْدَ الذِّكْرَىٰ مَعَ الْقَوْمِ الظَّالِمِينَ,
2042,858,1,وما على الذين يتقون من حسابهم من شيء ولٰكن ذكرىٰ لعلهم يتقون,وَمَا عَلَى الَّذِينَ يَتَّقُونَ مِنْ حِسَابِهِم مِّن شَيْءٍ وَلَٰكِن ذِكْرَىٰ لَعَلَّهُمْ يَتَّقُونَ,
2043,859,1,وذر الذين اتخذوا دينهم لعبا ولهوا وغرتهم الحياة الدنيا,وَذَرِ الَّذِينَ اتَّخَذُوا دِينَهُمْ لَعِبًا وَلَهْوًا وَغَرَّتْهُمُ الْحَيَاةُ الدُّنْيَا,
2044,859,2,وذكر به أن تبسل نفس بما كسبت ليس لها من دون الله ولي ولا شفيع وإن تعدل كل عدل لا يؤخذ منها,وَذَكِّرْ بِهِ أَن تُبْسَلَ نَفْسٌ بِمَا كَسَبَتْ لَيْسَ لَهَا مِن دُونِ اللَّهِ وَلِيٌّ وَلَا شَفِيعٌ وَإِن تَعْدِلْ كُلَّ عَدْلٍ لَّا يُؤْخَذْ مِنْهَا,
2045,859,3,أولٰئك الذين أبسلوا بما كسبوا,أُولَٰئِكَ الَّذِينَ أُبْسِلُوا بِمَا كَسَبُوا,
2046,859,4,لهم شراب من حميم وعذاب أليم بما كانوا يكفرون,لَهُمْ شَرَابٌ مِّنْ حَمِيمٍ وَعَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْفُرُونَ,
2047,860,1,قل أندعو من دون الله ما لا ينفعنا ولا يضرنا ونرد علىٰ أعقابنا بعد إذ هدانا الله كالذي استهوته الشياطين في الأرض حيران له أصحاب يدعونه إلى الهدى ائتنا,قُلْ أَنَدْعُو مِن دُونِ اللَّهِ مَا لَا يَنفَعُنَا وَلَا يَضُرُّنَا وَنُرَدُّ عَلَىٰ أَعْقَابِنَا بَعْدَ إِذْ هَدَانَا اللَّهُ كَالَّذِي اسْتَهْوَتْهُ الشَّيَاطِينُ فِي الْأَرْضِ حَيْرَانَ لَهُ أَصْحَابٌ يَدْعُونَهُ إِلَى الْهُدَى ائْتِنَا,1
2048,860,2,قل إن هدى الله هو الهدىٰ,قُلْ إِنَّ هُدَى اللَّهِ هُوَ الْهُدَىٰ,
2049,860,3,وأمرنا لنسلم لرب العالمين,وَأُمِرْنَا لِنُسْلِمَ لِرَبِّ الْعَالَمِينَ,
2050,861,1,وأن أقيموا الصلاة واتقوه,وَأَنْ أَقِيمُوا الصَّلَاةَ وَاتَّقُوهُ,
2051,861,2,وهو الذي إليه تحشرون,وَهُوَ الَّذِي إِلَيْهِ تُحْشَرُونَ,
2052,862,1,وهو الذي خلق السماوات والأرض بالحق,وَهُوَ الَّذِي خَلَقَ السَّمَاوَاتِ وَالْأَرْضَ بِالْحَقِّ,
2053,862,2,ويوم يقول كن فيكون,وَيَوْمَ يَقُولُ كُن فَيَكُونُ,
2054,862,3,قوله الحق,قَوْلُهُ الْحَقُّ,
2055,862,4,وله الملك يوم ينفخ في الصور,وَلَهُ الْمُلْكُ يَوْمَ يُنفَخُ فِي الصُّورِ,
2056,862,5,عالم الغيب والشهادة,عَالِمُ الْغَيْبِ وَالشَّهَادَةِ,
2057,862,6,وهو الحكيم الخبير,وَهُوَ الْحَكِيمُ الْخَبِيرُ,
2058,863,1,وإذ قال إبراهيم لأبيه آزر أتتخذ أصناما آلهة,وَإِذْ قَالَ إِبْرَاهِيمُ لِأَبِيهِ آزَرَ أَتَتَّخِذُ أَصْنَامًا آلِهَةً,
2059,863,2,إني أراك وقومك في ضلال مبين,إِنِّي أَرَاكَ وَقَوْمَكَ فِي ضَلَالٍ مُّبِينٍ,
2060,864,1,وكذٰلك نري إبراهيم ملكوت السماوات والأرض وليكون من الموقنين,وَكَذَٰلِكَ نُرِي إِبْرَاهِيمَ مَلَكُوتَ السَّمَاوَاتِ وَالْأَرْضِ وَلِيَكُونَ مِنَ الْمُوقِنِينَ,
2061,865,1,فلما جن عليه الليل رأىٰ كوكبا,فَلَمَّا جَنَّ عَلَيْهِ اللَّيْلُ رَأَىٰ كَوْكَبًا,
2062,865,2,قال هٰذا ربي,قَالَ هَٰذَا رَبِّي,
2063,865,3,فلما أفل قال لا أحب الآفلين,فَلَمَّا أَفَلَ قَالَ لَا أُحِبُّ الْآفِلِينَ,
2064,866,1,فلما رأى القمر بازغا قال هٰذا ربي,فَلَمَّا رَأَى الْقَمَرَ بَازِغًا قَالَ هَٰذَا رَبِّي,
2065,866,2,فلما أفل قال لئن لم يهدني ربي لأكونن من القوم الضالين,فَلَمَّا أَفَلَ قَالَ لَئِن لَّمْ يَهْدِنِي رَبِّي لَأَكُونَنَّ مِنَ الْقَوْمِ الضَّالِّينَ,
2066,867,1,فلما رأى الشمس بازغة قال هٰذا ربي هٰذا أكبر,فَلَمَّا رَأَى الشَّمْسَ بَازِغَةً قَالَ هَٰذَا رَبِّي هَٰذَا أَكْبَرُ,1
2067,867,2,فلما أفلت قال يا قوم إني بريء مما تشركون,فَلَمَّا أَفَلَتْ قَالَ يَا قَوْمِ إِنِّي بَرِيءٌ مِّمَّا تُشْرِكُونَ,
2068,868,1,إني وجهت وجهي للذي فطر السماوات والأرض حنيفا,إِنِّي وَجَّهْتُ وَجْهِيَ لِلَّذِي فَطَرَ السَّمَاوَاتِ وَالْأَرْضَ حَنِيفًا,
2069,868,2,وما أنا من المشركين,وَمَا أَنَا مِنَ الْمُشْرِكِينَ,
2070,869,1,وحاجه قومه,وَحَاجَّهُ قَوْمُهُ,
2071,869,2,قال أتحاجوني في الله وقد هدان,قَالَ أَتُحَاجُّونِّي فِي اللَّهِ وَقَدْ هَدَانِ,
2072,869,3,ولا أخاف ما تشركون به إلا أن يشاء ربي شيئا,وَلَا أَخَافُ مَا تُشْرِكُونَ بِهِ إِلَّا أَن يَشَاءَ رَبِّي شَيْئًا,1
2073,869,4,وسع ربي كل شيء علما,وَسِعَ رَبِّي كُلَّ شَيْءٍ عِلْمًا,
2074,869,5,أفلا تتذكرون,أَفَلَا تَتَذَكَّرُونَ,
2075,870,1,وكيف أخاف ما أشركتم ولا تخافون أنكم أشركتم بالله ما لم ينزل به عليكم سلطانا,وَكَيْفَ أَخَافُ مَا أَشْرَكْتُمْ وَلَا تَخَافُونَ أَنَّكُمْ أَشْرَكْتُم بِاللَّهِ مَا لَمْ يُنَزِّلْ بِهِ عَلَيْكُمْ سُلْطَانًا,
2076,870,2,فأي الفريقين أحق بالأمن,فَأَيُّ الْفَرِيقَيْنِ أَحَقُّ بِالْأَمْنِ,1
2077,870,3,إن كنتم تعلمون,إِن كُنتُمْ تَعْلَمُونَ,
2078,871,1,الذين آمنوا ولم يلبسوا إيمانهم بظلم أولٰئك لهم الأمن وهم مهتدون,الَّذِينَ آمَنُوا وَلَمْ يَلْبِسُوا إِيمَانَهُم بِظُلْمٍ أُولَٰئِكَ لَهُمُ الْأَمْنُ وَهُم مُّهْتَدُونَ,
2079,872,1,وتلك حجتنا آتيناها إبراهيم علىٰ قومه,وَتِلْكَ حُجَّتُنَا آتَيْنَاهَا إِبْرَاهِيمَ عَلَىٰ قَوْمِهِ,
2080,872,2,نرفع درجات من نشاء,نَرْفَعُ دَرَجَاتٍ مَّن نَّشَاءُ,1
2081,872,3,إن ربك حكيم عليم,إِنَّ رَبَّكَ حَكِيمٌ عَلِيمٌ,
2082,873,1,ووهبنا له إسحاق ويعقوب,وَوَهَبْنَا لَهُ إِسْحَاقَ وَيَعْقُوبَ,
2083,873,2,كلا هدينا,كُلًّا هَدَيْنَا,
2084,873,3,ونوحا هدينا من قبل,وَنُوحًا هَدَيْنَا مِن قَبْلُ,
2085,873,4,ومن ذريته داوود وسليمان وأيوب ويوسف وموسىٰ وهارون,وَمِن ذُرِّيَّتِهِ دَاوُودَ وَسُلَيْمَانَ وَأَيُّوبَ وَيُوسُفَ وَمُوسَىٰ وَهَارُونَ,
2086,873,5,وكذٰلك نجزي المحسنين,وَكَذَٰلِكَ نَجْزِي الْمُحْسِنِينَ,
2087,874,1,وزكريا ويحيىٰ وعيسىٰ وإلياس,وَزَكَرِيَّا وَيَحْيَىٰ وَعِيسَىٰ وَإِلْيَاسَ,
2088,874,2,كل من الصالحين,كُلٌّ مِّنَ الصَّالِحِينَ,
2089,875,1,وإسماعيل واليسع ويونس ولوطا,وَإِسْمَاعِيلَ وَالْيَسَعَ وَيُونُسَ وَلُوطًا,
2090,875,2,وكلا فضلنا على العالمين,وَكُلًّا فَضَّلْنَا عَلَى الْعَالَمِينَ,
2091,876,1,ومن آبائهم وذرياتهم وإخوانهم,وَمِنْ آبَائِهِمْ وَذُرِّيَّاتِهِمْ وَإِخْوَانِهِمْ,
2092,876,2,واجتبيناهم وهديناهم إلىٰ صراط مستقيم,وَاجْتَبَيْنَاهُمْ وَهَدَيْنَاهُمْ إِلَىٰ صِرَاطٍ مُّسْتَقِيمٍ,
2093,877,1,ذٰلك هدى الله يهدي به من يشاء من عباده,ذَٰلِكَ هُدَى اللَّهِ يَهْدِي بِهِ مَن يَشَاءُ مِنْ عِبَادِهِ,
2094,877,2,ولو أشركوا لحبط عنهم ما كانوا يعملون,وَلَوْ أَشْرَكُوا لَحَبِطَ عَنْهُم مَّا كَانُوا يَعْمَلُونَ,
2095,878,1,أولٰئك الذين آتيناهم الكتاب والحكم والنبوة,أُولَٰئِكَ الَّذِينَ آتَيْنَاهُمُ الْكِتَابَ وَالْحُكْمَ وَالنُّبُوَّةَ,
2096,878,2,فإن يكفر بها هٰؤلاء فقد وكلنا بها قوما ليسوا بها بكافرين,فَإِن يَكْفُرْ بِهَا هَٰؤُلَاءِ فَقَدْ وَكَّلْنَا بِهَا قَوْمًا لَّيْسُوا بِهَا بِكَافِرِينَ,
2097,879,1,أولٰئك الذين هدى الله,أُولَٰئِكَ الَّذِينَ هَدَى اللَّهُ,
2098,879,2,فبهداهم اقتده,فَبِهُدَاهُمُ اقْتَدِهْ,
2099,879,3,قل لا أسألكم عليه أجرا,قُل لَّا أَسْأَلُكُمْ عَلَيْهِ أَجْرًا,1
2100,879,4,إن هو إلا ذكرىٰ للعالمين,إِنْ هُوَ إِلَّا ذِكْرَىٰ لِلْعَالَمِينَ,
2101,880,1,وما قدروا الله حق قدره إذ قالوا ما أنزل الله علىٰ بشر من شيء,وَمَا قَدَرُوا اللَّهَ حَقَّ قَدْرِهِ إِذْ قَالُوا مَا أَنزَلَ اللَّهُ عَلَىٰ بَشَرٍ مِّن شَيْءٍ,1
2102,880,2,قل من أنزل الكتاب الذي جاء به موسىٰ نورا وهدى للناس,قُلْ مَنْ أَنزَلَ الْكِتَابَ الَّذِي جَاءَ بِهِ مُوسَىٰ نُورًا وَهُدًى لِّلنَّاسِ,
2103,880,3,تجعلونه قراطيس تبدونها وتخفون كثيرا,تَجْعَلُونَهُ قَرَاطِيسَ تُبْدُونَهَا وَتُخْفُونَ كَثِيرًا,
2104,880,4,وعلمتم ما لم تعلموا أنتم ولا آباؤكم,وَعُلِّمْتُم مَّا لَمْ تَعْلَمُوا أَنتُمْ وَلَا آبَاؤُكُمْ,1
2105,880,5,قل الله,قُلِ اللَّهُ,
2106,880,6,ثم ذرهم في خوضهم يلعبون,ثُمَّ ذَرْهُمْ فِي خَوْضِهِمْ يَلْعَبُونَ,
2107,881,1,وهٰذا كتاب أنزلناه مبارك مصدق الذي بين يديه ولتنذر أم القرىٰ ومن حولها,وَهَٰذَا كِتَابٌ أَنزَلْنَاهُ مُبَارَكٌ مُّصَدِّقُ الَّذِي بَيْنَ يَدَيْهِ وَلِتُنذِرَ أُمَّ الْقُرَىٰ وَمَنْ حَوْلَهَا,
2108,881,2,والذين يؤمنون بالآخرة يؤمنون به,وَالَّذِينَ يُؤْمِنُونَ بِالْآخِرَةِ يُؤْمِنُونَ بِهِ,
2109,881,3,وهم علىٰ صلاتهم يحافظون,وَهُمْ عَلَىٰ صَلَاتِهِمْ يُحَافِظُونَ,
2110,882,1,ومن أظلم ممن افترىٰ على الله كذبا أو قال أوحي إلي ولم يوح إليه شيء ومن قال سأنزل مثل ما أنزل الله,وَمَنْ أَظْلَمُ مِمَّنِ افْتَرَىٰ عَلَى اللَّهِ كَذِبًا أَوْ قَالَ أُوحِيَ إِلَيَّ وَلَمْ يُوحَ إِلَيْهِ شَيْءٌ وَمَن قَالَ سَأُنزِلُ مِثْلَ مَا أَنزَلَ اللَّهُ,
2111,882,2,ولو ترىٰ إذ الظالمون في غمرات الموت والملائكة باسطو أيديهم أخرجوا أنفسكم,وَلَوْ تَرَىٰ إِذِ الظَّالِمُونَ فِي غَمَرَاتِ الْمَوْتِ وَالْمَلَائِكَةُ بَاسِطُو أَيْدِيهِمْ أَخْرِجُوا أَنفُسَكُمُ,1
2112,882,3,اليوم تجزون عذاب الهون بما كنتم تقولون على الله غير الحق وكنتم عن آياته تستكبرون,الْيَوْمَ تُجْزَوْنَ عَذَابَ الْهُونِ بِمَا كُنتُمْ تَقُولُونَ عَلَى اللَّهِ غَيْرَ الْحَقِّ وَكُنتُمْ عَنْ آيَاتِهِ تَسْتَكْبِرُونَ,
2113,883,1,ولقد جئتمونا فرادىٰ كما خلقناكم أول مرة وتركتم ما خولناكم وراء ظهوركم,وَلَقَدْ جِئْتُمُونَا فُرَادَىٰ كَمَا خَلَقْنَاكُمْ أَوَّلَ مَرَّةٍ وَتَرَكْتُم مَّا خَوَّلْنَاكُمْ وَرَاءَ ظُهُورِكُمْ,
2114,883,2,وما نرىٰ معكم شفعاءكم الذين زعمتم أنهم فيكم شركاء,وَمَا نَرَىٰ مَعَكُمْ شُفَعَاءَكُمُ الَّذِينَ زَعَمْتُمْ أَنَّهُمْ فِيكُمْ شُرَكَاءُ,1
2115,883,3,لقد تقطع بينكم وضل عنكم ما كنتم تزعمون,لَقَد تَّقَطَّعَ بَيْنَكُمْ وَضَلَّ عَنكُم مَّا كُنتُمْ تَزْعُمُونَ,
2116,884,1,إن الله فالق الحب والنوىٰ,إِنَّ اللَّهَ فَالِقُ الْحَبِّ وَالنَّوَىٰ,
2117,884,2,يخرج الحي من الميت ومخرج الميت من الحي,يُخْرِجُ الْحَيَّ مِنَ الْمَيِّتِ وَمُخْرِجُ الْمَيِّتِ مِنَ الْحَيِّ,
2118,884,3,ذٰلكم الله,ذَٰلِكُمُ اللَّهُ,
2119,884,4,فأنىٰ تؤفكون,فَأَنَّىٰ تُؤْفَكُونَ,1
2120,885,1,فالق الإصباح وجعل الليل سكنا والشمس والقمر حسبانا,فَالِقُ الْإِصْبَاحِ وَجَعَلَ اللَّيْلَ سَكَنًا وَالشَّمْسَ وَالْقَمَرَ حُسْبَانًا,
2121,885,2,ذٰلك تقدير العزيز العليم,ذَٰلِكَ تَقْدِيرُ الْعَزِيزِ الْعَلِيمِ,
2122,886,1,وهو الذي جعل لكم النجوم لتهتدوا بها في ظلمات البر والبحر,وَهُوَ الَّذِي جَعَلَ لَكُمُ النُّجُومَ لِتَهْتَدُوا بِهَا فِي ظُلُمَاتِ الْبَرِّ وَالْبَحْرِ,
2123,886,2,قد فصلنا الآيات لقوم يعلمون,قَدْ فَصَّلْنَا الْآيَاتِ لِقَوْمٍ يَعْلَمُونَ,
2124,887,1,وهو الذي أنشأكم من نفس واحدة فمستقر ومستودع,وَهُوَ الَّذِي أَنشَأَكُم مِّن نَّفْسٍ وَاحِدَةٍ فَمُسْتَقَرٌّ وَمُسْتَوْدَعٌ,
2125,887,2,قد فصلنا الآيات لقوم يفقهون,قَدْ فَصَّلْنَا الْآيَاتِ لِقَوْمٍ يَفْقَهُونَ,
2126,888,1,وهو الذي أنزل من السماء ماء فأخرجنا به نبات كل شيء فأخرجنا منه خضرا نخرج منه حبا متراكبا ومن النخل من طلعها قنوان دانية وجنات من أعناب والزيتون والرمان مشتبها وغير متشابه,وَهُوَ الَّذِي أَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجْنَا بِهِ نَبَاتَ كُلِّ شَيْءٍ فَأَخْرَجْنَا مِنْهُ خَضِرًا نُّخْرِجُ مِنْهُ حَبًّا مُّتَرَاكِبًا وَمِنَ النَّخْلِ مِن طَلْعِهَا قِنْوَانٌ دَانِيَةٌ وَجَنَّاتٍ مِّنْ أَعْنَابٍ وَالزَّيْتُونَ وَالرُّمَّانَ مُشْتَبِهًا وَغَيْرَ مُتَشَابِهٍ,
2127,888,2,انظروا إلىٰ ثمره إذا أثمر وينعه,انظُرُوا إِلَىٰ ثَمَرِهِ إِذَا أَثْمَرَ وَيَنْعِهِ,
2128,888,3,إن في ذٰلكم لآيات لقوم يؤمنون,إِنَّ فِي ذَٰلِكُمْ لَآيَاتٍ لِّقَوْمٍ يُؤْمِنُونَ,1
2129,889,1,وجعلوا لله شركاء الجن وخلقهم,وَجَعَلُوا لِلَّهِ شُرَكَاءَ الْجِنَّ وَخَلَقَهُمْ,
2130,889,2,وخرقوا له بنين وبنات بغير علم,وَخَرَقُوا لَهُ بَنِينَ وَبَنَاتٍ بِغَيْرِ عِلْمٍ,
2131,889,3,سبحانه وتعالىٰ عما يصفون,سُبْحَانَهُ وَتَعَالَىٰ عَمَّا يَصِفُونَ,
2132,890,1,بديع السماوات والأرض,بَدِيعُ السَّمَاوَاتِ وَالْأَرْضِ,1
2133,890,2,أنىٰ يكون له ولد ولم تكن له صاحبة,أَنَّىٰ يَكُونُ لَهُ وَلَدٌ وَلَمْ تَكُن لَّهُ صَاحِبَةٌ,
2134,890,3,وخلق كل شيء,وَخَلَقَ كُلَّ شَيْءٍ,1
2135,890,4,وهو بكل شيء عليم,وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,
2136,891,1,ذٰلكم الله ربكم,ذَٰلِكُمُ اللَّهُ رَبُّكُمْ,
2137,891,2,لا إلٰه إلا هو,لَا إِلَٰهَ إِلَّا هُوَ,
2138,891,3,خالق كل شيء فاعبدوه,خَالِقُ كُلِّ شَيْءٍ فَاعْبُدُوهُ,
2139,891,4,وهو علىٰ كل شيء وكيل,وَهُوَ عَلَىٰ كُلِّ شَيْءٍ وَكِيلٌ,
2140,892,1,لا تدركه الأبصار وهو يدرك الأبصار,لَّا تُدْرِكُهُ الْأَبْصَارُ وَهُوَ يُدْرِكُ الْأَبْصَارَ,1
2141,892,2,وهو اللطيف الخبير,وَهُوَ اللَّطِيفُ الْخَبِيرُ,
2142,893,1,قد جاءكم بصائر من ربكم,قَدْ جَاءَكُم بَصَائِرُ مِن رَّبِّكُمْ,
2143,893,2,فمن أبصر فلنفسه,فَمَنْ أَبْصَرَ فَلِنَفْسِهِ,
2144,893,3,ومن عمي فعليها,وَمَنْ عَمِيَ فَعَلَيْهَا,
2145,893,4,وما أنا عليكم بحفيظ,وَمَا أَنَا عَلَيْكُم بِحَفِيظٍ,
2146,894,1,وكذٰلك نصرف الآيات وليقولوا درست ولنبينه لقوم يعلمون,وَكَذَٰلِكَ نُصَرِّفُ الْآيَاتِ وَلِيَقُولُوا دَرَسْتَ وَلِنُبَيِّنَهُ لِقَوْمٍ يَعْلَمُونَ,
2147,895,1,اتبع ما أوحي إليك من ربك,اتَّبِعْ مَا أُوحِيَ إِلَيْكَ مِن رَّبِّكَ,
2148,895,2,لا إلٰه إلا هو,لَا إِلَٰهَ إِلَّا هُوَ,
2149,895,3,وأعرض عن المشركين,وَأَعْرِضْ عَنِ الْمُشْرِكِينَ,
2150,896,1,ولو شاء الله ما أشركوا,وَلَوْ شَاءَ اللَّهُ مَا أَشْرَكُوا,1
2151,896,2,وما جعلناك عليهم حفيظا,وَمَا جَعَلْنَاكَ عَلَيْهِمْ حَفِيظًا,
2152,896,3,وما أنت عليهم بوكيل,وَمَا أَنتَ عَلَيْهِم بِوَكِيلٍ,
2153,897,1,ولا تسبوا الذين يدعون من دون الله فيسبوا الله عدوا بغير علم,وَلَا تَسُبُّوا الَّذِينَ يَدْعُونَ مِن دُونِ اللَّهِ فَيَسُبُّوا اللَّهَ عَدْوًا بِغَيْرِ عِلْمٍ,
2154,897,2,كذٰلك زينا لكل أمة عملهم ثم إلىٰ ربهم مرجعهم فينبئهم بما كانوا يعملون,كَذَٰلِكَ زَيَّنَّا لِكُلِّ أُمَّةٍ عَمَلَهُمْ ثُمَّ إِلَىٰ رَبِّهِم مَّرْجِعُهُمْ فَيُنَبِّئُهُم بِمَا كَانُوا يَعْمَلُونَ,
2155,898,1,وأقسموا بالله جهد أيمانهم لئن جاءتهم آية ليؤمنن بها,وَأَقْسَمُوا بِاللَّهِ جَهْدَ أَيْمَانِهِمْ لَئِن جَاءَتْهُمْ آيَةٌ لَّيُؤْمِنُنَّ بِهَا,
2156,898,2,قل إنما الآيات عند الله,قُلْ إِنَّمَا الْآيَاتُ عِندَ اللَّهِ,
2157,898,3,وما يشعركم أنها إذا جاءت لا يؤمنون,وَمَا يُشْعِرُكُمْ أَنَّهَا إِذَا جَاءَتْ لَا يُؤْمِنُونَ,1
2158,899,1,ونقلب أفئدتهم وأبصارهم كما لم يؤمنوا به أول مرة ونذرهم في طغيانهم يعمهون,وَنُقَلِّبُ أَفْئِدَتَهُمْ وَأَبْصَارَهُمْ كَمَا لَمْ يُؤْمِنُوا بِهِ أَوَّلَ مَرَّةٍ وَنَذَرُهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,
2159,900,1,ولو أننا نزلنا إليهم الملائكة وكلمهم الموتىٰ وحشرنا عليهم كل شيء قبلا ما كانوا ليؤمنوا إلا أن يشاء الله ولٰكن أكثرهم يجهلون,وَلَوْ أَنَّنَا نَزَّلْنَا إِلَيْهِمُ الْمَلَائِكَةَ وَكَلَّمَهُمُ الْمَوْتَىٰ وَحَشَرْنَا عَلَيْهِمْ كُلَّ شَيْءٍ قُبُلًا مَّا كَانُوا لِيُؤْمِنُوا إِلَّا أَن يَشَاءَ اللَّهُ وَلَٰكِنَّ أَكْثَرَهُمْ يَجْهَلُونَ,
2160,901,1,وكذٰلك جعلنا لكل نبي عدوا شياطين الإنس والجن يوحي بعضهم إلىٰ بعض زخرف القول غرورا,وَكَذَٰلِكَ جَعَلْنَا لِكُلِّ نَبِيٍّ عَدُوًّا شَيَاطِينَ الْإِنسِ وَالْجِنِّ يُوحِي بَعْضُهُمْ إِلَىٰ بَعْضٍ زُخْرُفَ الْقَوْلِ غُرُورًا,
2161,901,2,ولو شاء ربك ما فعلوه,وَلَوْ شَاءَ رَبُّكَ مَا فَعَلُوهُ,
2162,901,3,فذرهم وما يفترون,فَذَرْهُمْ وَمَا يَفْتَرُونَ,
2163,902,1,ولتصغىٰ إليه أفئدة الذين لا يؤمنون بالآخرة وليرضوه وليقترفوا ما هم مقترفون,وَلِتَصْغَىٰ إِلَيْهِ أَفْئِدَةُ الَّذِينَ لَا يُؤْمِنُونَ بِالْآخِرَةِ وَلِيَرْضَوْهُ وَلِيَقْتَرِفُوا مَا هُم مُّقْتَرِفُونَ,
2164,903,1,أفغير الله أبتغي حكما وهو الذي أنزل إليكم الكتاب مفصلا,أَفَغَيْرَ اللَّهِ أَبْتَغِي حَكَمًا وَهُوَ الَّذِي أَنزَلَ إِلَيْكُمُ الْكِتَابَ مُفَصَّلًا,
